x	y	Figura
2,32	4,47	bolita
2,05	2,36	bolita
0,27	4,7	bolita
0,09	4,47	bolita
0,43	2,76	bolita
1,41	2,56	bolita
0,23	2,42	bolita
2,87	3,06	bolita
0,52	4,76	bolita
2,02	4,13	bolita
1,89	3,59	bolita
2,81	2,86	bolita
0,35	4,53	bolita
2,83	3,48	bolita
0,35	2,8	bolita
1,74	4,78	bolita
1,61	3,35	bolita
0,34	3,92	bolita
2,05	1,01	bolita
5,31	1,58	bolita
4,91	1,97	bolita
5,5	3,28	bolita
4,18	1,96	bolita
2,87	1,72	bolita
3,02	2,88	bolita
3,67	1,8	rombito
4,87	1,1	rombito
4,96	2,46	rombito
4,02	3,38	rombito
5,23	2,5	rombito
4,25	1,52	rombito
4,91	2,43	rombito
5,96	1	rombito
5,4	0,28	rombito
8	1,68	rombito
6,1	2,93	rombito
6,91	0,74	rombito
7,48	1	rombito
6,71	1,89	rombito
7,92	2,67	rombito
6,8	1,84	rombito
4,22	2,01	rombito
6,05	1,89	rombito
6,69	0,61	rombito
4,15	0,46	rombito
5,21	1,03	rombito
5,79	2,16	rombito
5,03	2,6	rombito
7,15	2,39	rombito
4,63	0,97	rombito
